timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1769049563487,210,POST /api/customer/owners,201,Created,Petclinic Load Test 1-4,text,true,,268,343,5,5,http://4.156.9.169/api/customer/owners,210,0,0
1769049564410,205,GET /api/customer/owners/{ownerId},200,OK,Petclinic Load Test 1-2,text,true,,501,178,5,5,http://4.156.9.169/api/customer/owners/5,205,0,0
1769049565407,237,GET /api/customer/owners/{ownerId},200,OK,Petclinic Load Test 1-1,text,true,,670,179,5,5,http://4.156.9.169/api/customer/owners/10,237,0,0
1769049565812,165,POST /api/visit/owners/*/pets/{petId}/visits,201,Created,Petclinic Load Test 1-4,text,true,,214,286,5,5,http://4.156.9.169/api/visit/owners/*/pets/10/visits,165,0,0
1769049565034,1069,GET /api/customer/owners,200,OK,Petclinic Load Test 1-3,text,true,,7879,176,5,5,http://4.156.9.169/api/customer/owners,1069,0,0
1769049566093,163,GET /api/visit/owners/*/pets/{petId}/visits,200,OK,Petclinic Load Test 1-5,text,true,,128,189,5,5,http://4.156.9.169/api/visit/owners/*/pets/9/visits,162,0,0
1769049566780,399,GET /api/vet/vets,200,OK,Petclinic Load Test 1-2,text,true,,781,169,5,5,http://4.156.9.169/api/vet/vets,398,0,0
1769049568442,132,POST /api/customer/owners,201,Created,Petclinic Load Test 1-5,text,true,,268,343,5,5,http://4.156.9.169/api/customer/owners,131,0,0
1769049568551,368,GET /api/customer/owners/{ownerId},200,OK,Petclinic Load Test 1-3,text,true,,411,178,5,5,http://4.156.9.169/api/customer/owners/6,368,0,0
1769049568692,330,GET /api/vet/vets,200,OK,Petclinic Load Test 1-2,text,true,,781,169,5,5,http://4.156.9.169/api/vet/vets,330,0,0
1769049567865,1471,GET /api/customer/owners,200,OK,Petclinic Load Test 1-1,text,true,,7865,176,5,5,http://4.156.9.169/api/customer/owners,1465,0,0
1769049568567,1188,GET /api/customer/owners,200,OK,Petclinic Load Test 1-4,text,true,,8002,176,5,5,http://4.156.9.169/api/customer/owners,1172,0,0
1769049569972,113,GET /api/visit/owners/*/pets/{petId}/visits,200,OK,Petclinic Load Test 1-5,text,true,,128,189,5,5,http://4.156.9.169/api/visit/owners/*/pets/5/visits,113,0,0
1769049571498,190,GET /api/customer/owners/{ownerId},200,OK,Petclinic Load Test 1-1,text,true,,501,178,5,5,http://4.156.9.169/api/customer/owners/3,190,0,35
1769049571825,374,POST /api/customer/owners/{ownerId}/pets,201,Created,Petclinic Load Test 1-3,text,true,,232,273,5,5,http://4.156.9.169/api/customer/owners/6/pets,374,0,0
1769049572354,157,POST /api/customer/owners,201,Created,Petclinic Load Test 1-5,text,true,,268,343,5,5,http://4.156.9.169/api/customer/owners,157,0,0
1769049572387,143,GET /api/customer/owners/{ownerId},200,OK,Petclinic Load Test 1-4,text,true,,498,178,5,5,http://4.156.9.169/api/customer/owners/7,143,0,0
1769049571809,1124,GET /api/customer/owners,200,OK,Petclinic Load Test 1-2,text,true,,8084,176,5,5,http://4.156.9.169/api/customer/owners,1110,0,0
1769049572714,302,GET /api/vet/vets,200,OK,Petclinic Load Test 1-1,text,true,,781,169,5,5,http://4.156.9.169/api/vet/vets,301,0,0
1769049574333,304,GET /api/vet/vets,200,OK,Petclinic Load Test 1-1,text,true,,788,169,5,5,http://4.156.9.169/api/vet/vets,304,0,0
1769049574890,173,GET /api/visit/owners/*/pets/{petId}/visits,200,OK,Petclinic Load Test 1-5,text,true,,297,189,5,5,http://4.156.9.169/api/visit/owners/*/pets/1/visits,173,0,0
